End_Time,Distance(mi),Temperature(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Speed(mph),Precipitation(in),Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Station,Stop,Traffic_Calming,Traffic_Signal,Duration,Region,State_CA,State_FL,State_Others,State_TX,City_Charlotte,City_Houston,City_Los Angeles,City_Miami,City_Orlando,City_Others,Weather_Condition_Clear / Cloudy,Weather_Condition_Fog / Low Visibility,Weather_Condition_Others,Weather_Condition_Snow,Weather_Condition_Thunderstorms / Severe Weather,Weather_Year,Weather_Month,Weather_Day,Wind_Direction_CALM,Wind_Direction_E,Wind_Direction_ENE,Wind_Direction_ESE,Wind_Direction_East,Wind_Direction_N,Wind_Direction_NE,Wind_Direction_NNE,Wind_Direction_NNW,Wind_Direction_NW,Wind_Direction_North,Wind_Direction_S,Wind_Direction_SE,Wind_Direction_SSE,Wind_Direction_SSW,Wind_Direction_SW,Wind_Direction_South,Wind_Direction_VAR,Wind_Direction_Variable,Wind_Direction_W,Wind_Direction_WNW,Wind_Direction_WSW,Wind_Direction_West,Weather_Day_of_Week_Friday,Weather_Day_of_Week_Monday,Weather_Day_of_Week_Saturday,Weather_Day_of_Week_Sunday,Weather_Day_of_Week_Thursday,Weather_Day_of_Week_Tuesday,Weather_Day_of_Week_Wednesday,Severity
757,0.187,30.0,80.0,24.14,10.0,7.0,0.0,0,0,1,0,0,0,0,0,0,0,1,126.68333333333334,8,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2022,2,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
784,0.1369999999999999,66.0,42.0,30.12,10.0,10.0,0.0,0,0,1,0,0,0,0,0,0,0,1,130.4,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2022,5,23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
1075,0.1,84.0,20.0,29.52,10.0,5.0,0.0,0,0,1,0,0,0,0,0,0,0,0,124.05,7,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,2021,9,23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
1164,6.803999999999999,90.0,39.0,29.85,10.0,6.0,0.0,0,0,0,0,0,0,0,0,0,0,0,360.0,2,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2022,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2
368,0.0,35.0,92.0,29.9,10.0,12.0,0.0,0,0,1,0,0,0,0,0,0,0,0,30.0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2020,3,24,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
398,0.0,44.0,89.0,29.52,10.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,132.56666666666666,3,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2020,5,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
574,1.035,83.0,82.0,29.96,8.0,7.0,0.0,0,0,1,0,0,0,0,0,0,0,1,140.21666666666667,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2021,8,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
944,0.149,72.0,43.0,29.52,10.0,10.0,0.0,0,0,0,0,0,0,0,0,0,0,0,157.81666666666666,7,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,2021,11,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
291,0.042,43.0,28.0,29.99,10.0,7.0,0.0,1,0,0,0,1,0,0,0,0,0,0,145.05,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2022,4,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2
819,8.003,30.0,93.0,29.0,1.0,24.0,0.0,0,0,0,0,0,0,0,0,0,0,0,68.0,4,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,2022,3,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
