End_Time,Distance(mi),Temperature(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Speed(mph),Precipitation(in),Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Station,Stop,Traffic_Calming,Traffic_Signal,Duration,Region,State_CA,State_FL,State_Others,State_TX,City_Charlotte,City_Houston,City_Los Angeles,City_Miami,City_Orlando,City_Others,Weather_Condition_Clear / Cloudy,Weather_Condition_Fog / Low Visibility,Weather_Condition_Others,Weather_Condition_Snow,Weather_Condition_Thunderstorms / Severe Weather,Weather_Year,Weather_Month,Weather_Day,Wind_Direction_CALM,Wind_Direction_E,Wind_Direction_ENE,Wind_Direction_ESE,Wind_Direction_East,Wind_Direction_N,Wind_Direction_NE,Wind_Direction_NNE,Wind_Direction_NNW,Wind_Direction_NW,Wind_Direction_North,Wind_Direction_S,Wind_Direction_SE,Wind_Direction_SSE,Wind_Direction_SSW,Wind_Direction_SW,Wind_Direction_South,Wind_Direction_VAR,Wind_Direction_Variable,Wind_Direction_W,Wind_Direction_WNW,Wind_Direction_WSW,Wind_Direction_West,Weather_Day_of_Week_Friday,Weather_Day_of_Week_Monday,Weather_Day_of_Week_Saturday,Weather_Day_of_Week_Sunday,Weather_Day_of_Week_Thursday,Weather_Day_of_Week_Tuesday,Weather_Day_of_Week_Wednesday,Severity
498,0.0,58.0,100.0,29.74,10.0,3.0,0.0,0,0,0,0,0,0,0,0,0,0,0,95.83333333333331,2,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2022,8,18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
614,0.0,66.0,60.0,29.5,10.0,9.0,0.0,0,0,0,0,0,0,0,0,0,0,0,69.55,4,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2022,6,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
658,0.0,80.0,74.0,29.79,10.0,5.0,0.0,0,0,0,0,0,0,0,0,0,0,0,29.633333333333333,7,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2022,9,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1130,3.81,59.0,72.0,30.01,10.0,8.0,0.0,0,0,1,0,0,0,0,0,1,0,0,15.0,9,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2020,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1096,0.0,51.0,46.0,29.58,10.0,21.0,0.0,0,0,0,1,0,0,0,0,0,0,1,34.96666666666667,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2020,5,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
893,0.0,73.0,13.0,27.12,10.0,9.0,0.0,0,0,0,0,0,0,0,0,0,0,1,45.0,8,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2020,4,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
529,0.0,46.0,93.0,29.94,6.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,34.96666666666667,9,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2020,3,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1192,0.0,103.0,9.0,26.97,10.0,13.0,0.0,0,0,1,0,0,0,0,0,0,0,1,64.96666666666667,8,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2020,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
802,0.0,93.0,11.0,28.78,10.0,7.0,0.0,0,0,1,0,0,0,0,0,0,0,1,45.0,8,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2020,4,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1162,0.0,72.0,99.0,29.73,10.0,7.0,0.0,0,0,0,0,0,0,0,0,0,0,0,15.0,9,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2020,5,27,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1138,0.0,83.0,90.0,29.77,10.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,1,59.65,2,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2022,7,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
306,0.0,79.0,88.0,29.85,10.0,5.0,0.0,0,0,0,0,0,0,0,0,0,0,1,45.96666666666667,7,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,2022,7,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
